Date,Close,High,Open,Market Cap,Volume,Low
"Mar 26, 2017",0.160384,0.175043,0.167267,"8,363,350","37,656",0.158772
"Mar 25, 2017",0.167305,0.167388,0.166941,"8,347,050","47,641",0.157475
"Mar 24, 2017",0.166465,0.178022,0.166412,"8,320,600","52,184",0.159289
"Mar 23, 2017",0.166412,0.176421,0.173183,"8,659,150","38,169",0.156976
"Mar 22, 2017",0.173143,0.179551,0.164951,"8,247,550","157,814",0.159475
"Mar 21, 2017",0.164934,0.167727,0.153972,"7,698,600","234,287",0.150715
"Mar 20, 2017",0.153898,0.162542,0.157444,"7,872,200","68,539",0.149597
"Mar 19, 2017",0.157560,0.163016,0.159019,"7,950,950","68,673",0.149322
"Mar 18, 2017",0.158987,0.172281,0.140006,"7,000,300","188,985",0.140006
"Mar 17, 2017",0.139902,0.166127,0.131324,"6,566,200","63,413",0.122856
"Mar 16, 2017",0.131867,0.136685,0.128773,"6,438,650","20,678",0.125514
"Mar 15, 2017",0.128653,0.140774,0.133699,"6,684,950","16,169",0.128158
"Mar 14, 2017",0.133681,0.137204,0.136986,"6,849,300","23,746",0.127028
"Mar 13, 2017",0.136979,0.140823,0.140799,"7,039,950","23,196",0.127288
"Mar 12, 2017",0.140575,0.143570,0.142217,"7,110,850","36,588",0.131473
"Mar 11, 2017",0.142142,0.142793,0.131403,"6,570,150","32,281",0.129965
"Mar 10, 2017",0.131476,0.141972,0.132107,"6,605,350","34,319",0.120088
"Mar 09, 2017",0.132026,0.140766,0.116266,"5,813,300","21,035",0.114151
"Mar 08, 2017",0.116242,0.128715,0.122602,"6,130,100","5,536",0.116242
"Mar 07, 2017",0.122573,0.123531,0.123459,"6,172,950","8,291",0.116952
"Mar 06, 2017",0.123450,0.124417,0.121782,"6,089,100","10,659",0.118414
"Mar 05, 2017",0.121757,0.123680,0.119821,"5,991,050","4,192",0.116513
"Mar 04, 2017",0.119901,0.125583,0.122602,"6,130,100","6,235",0.117666
"Mar 03, 2017",0.122444,0.124929,0.119272,"5,963,600","9,499",0.118119
"Mar 02, 2017",0.119301,0.135475,0.135408,"6,770,400","8,963",0.115596
"Mar 01, 2017",0.135197,0.135197,0.117455,"5,872,750","12,914",0.113717
"Feb 28, 2017",0.117443,0.118271,0.115442,"5,772,100","19,659",0.113307
"Feb 27, 2017",0.115376,0.118632,0.115234,"5,761,700","8,960",0.109630
"Feb 26, 2017",0.114986,0.115582,0.114553,"5,727,650","8,433",0.104331
"Feb 25, 2017",0.114526,0.121660,0.120864,"6,043,200","9,339",0.110955
"Feb 24, 2017",0.121185,0.136124,0.119243,"5,962,150","17,386",0.086475
