Date,Low,High,Close,Open,Market Cap,Volume
"Jan 14, 2017",812.46,835.09,818.41,825.14,"13,285,200,000","93,063,300"
"Jan 13, 2017",780.00,829.00,823.98,803.74,"12,939,100,000","168,968,000"
"Jan 12, 2017",755.76,826.25,804.83,775.18,"12,477,600,000","222,326,000"
"Jan 11, 2017",762.76,919.45,777.76,908.12,"14,615,700,000","310,929,000"
"Jan 10, 2017",901.06,914.87,907.68,902.44,"14,522,600,000","115,808,000"
"Jan 09, 2017",879.81,913.69,902.83,913.24,"14,694,900,000","141,877,000"
"Jan 08, 2017",887.25,942.72,911.20,908.17,"14,611,400,000","158,715,000"
"Jan 07, 2017",823.56,908.59,908.59,903.49,"14,534,400,000","279,550,000"
"Jan 06, 2017",883.94,1046.81,902.20,1014.24,"16,314,100,000","351,876,000"
"Jan 05, 2017",910.42,1191.10,1013.38,1156.73,"18,604,000,000","510,199,000"
"Jan 04, 2017",1044.40,1159.42,1154.73,1044.40,"16,795,400,000","344,946,000"
"Jan 03, 2017",1021.60,1044.08,1043.84,1021.60,"16,426,600,000","185,168,000"
"Jan 02, 2017",996.70,1031.39,1021.75,998.62,"16,055,100,000","222,185,000"
"Jan 01, 2017",958.70,1003.08,998.33,963.66,"15,491,200,000","147,775,000"
"Dec 31, 2016",947.24,963.74,963.74,960.63,"15,440,700,000","99,135,100"
"Dec 30, 2016",934.83,972.53,961.24,972.53,"15,630,200,000","187,474,000"
"Dec 29, 2016",954.50,979.40,973.50,975.13,"15,670,000,000","199,320,000"
"Dec 28, 2016",934.83,975.92,975.92,934.83,"15,020,500,000","236,630,000"
"Dec 27, 2016",904.25,940.05,933.20,908.35,"14,593,300,000","167,308,000"
"Dec 26, 2016",896.90,913.18,907.61,896.90,"14,407,800,000","123,771,000"
"Dec 25, 2016",862.42,899.65,896.18,899.65,"14,450,100,000","143,665,000"
"Dec 24, 2016",886.34,923.48,898.82,922.18,"14,810,300,000","137,727,000"
"Dec 23, 2016",864.68,925.12,921.98,864.89,"13,888,600,000","275,564,000"
"Dec 22, 2016",834.15,875.78,864.54,834.18,"13,393,800,000","200,027,000"
"Dec 21, 2016",799.40,834.28,834.28,800.64,"12,853,700,000","155,576,000"
"Dec 20, 2016",791.50,801.34,800.88,792.25,"12,717,600,000","99,629,300"
